2024-03-23 17:27:34 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:27:39 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:30:14 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:30:39 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:31:04 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:31:08 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:31:12 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:31:22 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:32:24 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:32:27 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:33:05 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:33:08 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:34:00 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:34:04 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:34:09 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:34:16 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:39:39 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 17:46:03 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:02:09 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:09:44 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:12:13 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:13:16 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:18:58 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:20:09 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:21:00 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:23:20 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:23:38 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:30:35 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:33:18 INFO  AdvertisementController:40 - Advertisement get
